Pais	Iso3	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Paraguay	PRY	139.371847776249	148.807886290692	146.97386519945	157.395690050436	171.898211829436	204.456671251719	243.502980284273	287.303988995873	299.798257679963	289.58734525447	264.053186611646	310.79779917469	274.997707473636	278.445667125172
Bolivia	BOL	124.542664397715	144.311413638021	158.683298893886	174.749301081804	195.443357238362	202.886836027714	224.276771605689	230.611097605445	233.347514282241	233.938555974231	181.762793241765	231.389023945545	245.469186823873	261.719034885134
Guyana	GUY	50.0553804208912	56.2068671721905	70.6228167334072	68.4757604157792	75.9478572037148	76.7572633552015	109.355031098236	110.343358609525	119.885831132317	137.999488796115	183.701116128483	178.589077276987	183.053591207293	181.519979551845
Peru	PER	119.940890291998	135.924020995461	135.639987333634	141.407981729727	155.454693752219	163.365894849971	175.835068561504	164.871465172291	165.500945179584	179.041482348651	127.984992275436	155.576079759723	173.532572711658	180.211681843916
Ecuador	ECU	112.908095544631	115.034094598983	116.033861035314	129.855703226027	142.351359511453	140.759708558115	133.403592323161	126.523148438257	135.681122928547	132.573586797386	103.442500612393	127.238081132043	140.742618533562	158.220016976091
Chile	CHL	117.702716941371	138.029954090464	144.872130654023	157.09942048619	136.909460374802	153.928501542861	167.425001881538	170.090163317528	170.293670505005	186.641679837435	163.349740347708	168.154737713555	167.464438925265	152.876345299917
Uruguay	URY	63.5604194703298	97.245004189625	124.858441459513	93.9415483838204	70.3298377472513	74.6870477109413	73.0340502247163	62.2756011477033	74.0065510499454	81.2457151562857	75.0933143742224	116.695020694208	121.171571490237	123.885940634284
Brazil	BRA	93.8210930630756	104.280535667458	119.363228284511	130.595276659417	140.706495750228	128.119059739218	112.622738761847	117.942083214886	107.483478004094	106.318883886564	97.1945111053816	123.007388896602	111.073560619583	111.333549292733
Colombia	COL	23.3527813254266	32.7677099567343	33.2860730246785	51.7744182949906	54.1044265280364	56.6392294319198	61.0094951961397	46.6161056380423	53.7857945264311	55.1085205460441	51.6547671960947	64.9379145826183	72.0884742984563	89.1588227682163
Venezuela, RB	VEN	72.3463058120253	68.6092726852651	88.9181672218502	88.1122494241007	87.093421928724	71.5069502733023	58.8375559448502	48.1382587223274	37.2260518021773	16.4947498847227	-29.4890654687572	-30.6118131736901	-24.109976047659	-17.5313198549017
Argentina	ARG	77.0720129037925	84.5283248625579	88.5121512043407	92.8778611325154	89.7261736981423	95.8847202647833	93.8066187831628	91.020844894977	89.4834290870327	82.9436976232588	69.8017519134104	90.3049878428069	93.1193081778583	83.4342772957931
Suriname	SUR	59.3949334791325	78.1939128850009	122.726444322945	108.465463823583	138.800801895389	148.314197193366	169.737561509021	123.227628941134	95.9449608164753	142.454893384363	137.279023145617	137.625296154547	131.3832695462	139.529797703663
